Timestamp(ms),Current(uA),D0-D7
4380,12736.791,11111111
4390,12764.399,11111111
4400,12745.464,11111111
4410,12735.432,11111111
4420,12736.523,11111111
4430,12734.657,11111111
4440,12739.312,11111111
4450,12737.342,11111111
4460,12758.095,11111111
4470,12730.771,11111111
4480,13027.617,11111111
4490,14374.813,11111111
4500,14812.438,11111111
4510,14965.778,11111111
4520,15023.672,11111111
4530,14462.983,11111111
4540,14848.475,11111111
4550,14999.958,11111111
4560,15054.689,11111111
4570,15071.911,11111111
4580,15133.128,11111111
4590,15109.050,11111111
4600,15089.726,11111111
4610,15087.643,11111111
4620,15077.614,11111111
4630,15090.107,11111111
4640,15081.813,11111111
4650,15092.644,11111111
4660,15093.006,11111111
4670,15080.754,11111111
4680,15068.772,11111111
4690,15075.696,11111111
4700,15071.381,11111111
4710,15099.545,11111111
4720,15095.255,11111111
4730,14493.808,11111111
4740,14864.825,11111111
4750,15004.154,11111111
4760,15048.490,11111111
4770,15078.367,11111111
4780,15075.456,11111111
4790,15081.231,11111111
4800,15082.734,11111111
4810,15076.572,11111111
4820,15065.400,11111111
4830,15115.324,11111111
4840,15088.396,11111111
4850,15087.783,11111111
4860,15102.597,11111111
4870,15088.622,11111111
4880,15085.735,11111111
4890,15085.866,11111111
4900,15082.029,11111111
4910,15114.972,11111111
4920,15115.174,11111111
4930,14537.250,11111111
4940,14903.048,11111111
4950,15029.920,11111111
4960,15102.327,11111111
4970,15110.593,11111111
4980,15106.939,11111111
4990,15117.301,11111111
5000,15150.110,11111111
5010,15133.511,11111111
5020,15122.528,11111111
5030,15433.877,11111111
5040,15242.973,11111111
5050,15164.850,11111111
5060,15140.991,11111111
5070,15123.023,11111111
5080,15183.412,11111111
5090,15137.717,11111111
5100,15131.828,11111111
5110,15122.459,11111111
5120,15131.835,11111111
5130,14408.139,11111111
5140,13780.588,11111111
5150,13542.711,11111111
5160,13730.032,11111111
5170,13572.759,11111111
5180,13479.148,11111111
5190,13541.056,11111111
5200,13620.095,11111111
5210,13516.419,11111111
5220,13443.307,11111111
5230,13413.569,11111111
5240,13416.125,11111111
5250,13430.034,11111111
5260,13424.906,11111111
5270,13425.875,11111111
5280,13449.667,11111111
5290,13460.847,11111111
5300,13734.425,11111111
5310,13559.111,11111111
5320,13460.765,11111111
5330,13880.296,11111111
5340,14693.516,11111111
5350,13894.387,11111111
5360,13588.108,11111111
5370,13474.469,11111111
5380,13448.734,11111111
5390,13430.759,11111111
5400,13439.380,11111111
5410,13419.125,11111111
5420,13419.054,11111111
5430,13688.376,11111111
5440,13553.884,11111111
5450,13419.238,11111111
5460,13411.752,11111111
5470,13361.186,11111111
5480,13392.377,11111111
5490,11896.351,11111111
5500,11328.133,11111111
5510,11141.020,11111111
5520,11067.539,11111111
5530,11034.197,11111111
5540,11031.770,11111111
5550,11426.776,11111111
5560,12259.549,11111111
5570,11478.191,11111111
5580,11227.971,11111111
5590,11096.725,11111111
5600,11052.556,11111111
5610,11048.434,11111111
5620,11047.769,11111111
5630,11034.240,11111111
5640,11042.760,11111111
5650,11009.294,11111111
5660,11005.451,11111111
5670,11013.828,11111111
5680,10998.415,11111111
5690,11029.080,11111111
5700,11011.854,11111111
5710,11059.433,11111111
5720,11056.124,11111111
5730,11038.324,11111111
5740,11030.792,11111111
5750,11023.076,11111111
5760,11008.378,11111111
5770,11402.148,11111111
5780,12260.531,11111111
5790,11468.354,11111111
5800,11193.217,11111111
5810,11074.403,11111111
5820,11042.192,11111111
5830,11079.750,11111111
5840,11049.391,11111111
5850,11047.475,11111111
5860,11030.246,11111111
5870,11029.145,11111111
5880,11029.009,11111111
5890,11037.104,11111111
5900,11015.803,11111111
5910,11006.309,11111111
5920,11015.317,11111111
5930,11023.810,11111111
5940,11027.280,11111111
5950,11027.263,11111111
5960,11045.354,11111111
5970,11029.470,11111111
5980,11026.040,11111111
5990,11415.425,11111111
6000,12256.661,11111111
6010,11479.361,11111111
6020,11186.386,11111111
6030,11101.532,11111111
6040,11041.161,11111111
6050,11021.994,11111111
6060,11007.449,11111111
6070,10988.719,11111111
6080,11036.615,11111111
6090,11020.771,11111111
6100,11020.893,11111111
6110,11002.425,11111111
6120,11029.447,11111111
6130,11034.635,11111111
6140,11003.976,11111111
6150,11000.254,11111111
6160,11000.629,11111111
6170,10994.385,11111111
6180,10978.792,11111111
6190,11021.626,11111111
6200,11212.045,11111111
6210,11503.928,11111111
6220,12290.595,11111111
6230,11599.745,11111111
6240,11530.151,11111111
6250,11424.351,11111111
6260,11168.684,11111111
6270,11079.208,11111111
6280,11023.202,11111111
6290,11031.990,11111111
6300,11012.482,11111111
6310,11031.612,11111111
6320,11010.814,11111111
6330,11087.844,11111111
6340,11045.389,11111111
6350,11047.891,11111111
6360,11030.459,11111111
6370,11014.644,11111111
6380,11017.826,11111111
6390,11015.252,11111111
6400,11026.336,11111111
6410,11015.744,11111111
6420,11019.756,11111111
6430,11033.307,11111111
6440,11032.688,11111111
6450,11083.535,11111111
6460,12168.596,11111111
6470,12543.582,11111111
6480,12964.981,11111111
6490,14307.284,11111111
6500,14793.469,11111111
6510,14977.181,11111111
6520,15042.988,11111111
6530,15137.308,11111111
6540,15106.682,11111111
6550,15077.819,11111111
6560,15070.202,11111111
6570,15066.550,11111111
6580,15124.681,11111111
6590,15085.713,11111111
6600,15075.161,11111111
6610,15059.613,11111111
6620,15072.229,11111111
6630,15083.700,11111111
6640,15094.807,11111111
6650,14419.769,11111111
6660,14823.318,11111111
