Timestamp(ms),Current(uA)
6040,12712.693
6050,12706.029
6060,12718.365
6070,12702.019
6080,12701.454
6090,12701.899
6100,12695.898
6110,12718.608
6120,12768.984
6130,12205.101
6140,12534.800
6150,12775.906
6160,14220.656
6170,14778.580
6180,14968.091
6190,15039.825
6200,15059.544
6210,15073.354
6220,15066.120
6230,15075.105
6240,15107.583
6250,15093.025
6260,15088.457
6270,15065.221
6280,15069.188
6290,15065.900
6300,15071.334
6310,15080.009
6320,15071.274
6330,14532.617
6340,14868.134
6350,14999.165
6360,15046.513
6370,15128.620
6380,15089.391
6390,15078.286
6400,15081.131
6410,15063.368
6420,15051.164
6430,15055.247
6440,15053.159
6450,15043.379
6460,15046.895
6470,15042.390
6480,15040.693
6490,15082.585
6500,15077.199
6510,15062.819
6520,15037.049
6530,14501.187
6540,14828.069
6550,14952.204
6560,15004.505
6570,15011.185
6580,15084.542
6590,15041.379
6600,15019.237
6610,15014.825
6620,15048.172
6630,15035.826
6640,15028.537
6650,15011.098
6660,15005.692
6670,15013.298
6680,14999.943
6690,15003.323
6700,15011.753
6710,15010.486
6720,15010.913
6730,14114.268
6740,13633.018
6750,13433.807
6760,13336.195
6770,13308.448
6780,13287.336
6790,13296.017
6800,13279.798
6810,13273.249
6820,13269.299
6830,13280.679
6840,13289.093
6850,13291.080
6860,13474.722
6870,13463.867
6880,13361.631
6890,13327.459
6900,13302.563
6910,13295.249
6920,13284.243
6930,14090.989
6940,14694.139
6950,14900.115
6960,14994.387
6970,15023.672
6980,15070.785
6990,15098.180
7000,15069.354
7010,15039.930
7020,15043.636
7030,15026.150
7040,15021.919
7050,15023.491
7060,15031.687
7070,15032.253
7080,15052.090
7090,15042.514
7100,15053.110
7110,15039.864
7120,14903.460
7130,14677.090
7140,14877.047
7150,15100.545
7160,13589.182
7170,13005.300
7180,12797.644
7190,12715.695
7200,12675.246
7210,12668.341
7220,12674.110
7230,12666.945
7240,12707.083
7250,12703.622
7260,12680.368
7270,12684.063
7280,12658.653
7290,12659.684
7300,12676.063
7310,12676.773
7320,12514.465
7330,12292.434
7340,12530.867
7350,12610.630
7360,12650.334
7370,12695.027
7380,12681.746
7390,12679.025
7400,12676.991
7410,12676.487
7420,12676.569
7430,12677.522
7440,12676.114
7450,12662.886
7460,12665.348
7470,12665.527
7480,12679.836
7490,12698.969
7500,12709.918
7510,12682.682
7520,12513.015
7530,12288.405
7540,12514.759
7550,12621.556
7560,12646.264
7570,12673.709
7580,12683.807
7590,12661.725
7600,12681.872
7610,12689.020
7620,12717.869
7630,12679.439
7640,12659.713
7650,12671.300
7660,12661.122
7670,12650.845
7680,12655.092
7690,12666.923
7700,12677.445
7710,12672.379
7720,12513.477
7730,12276.523
7740,12557.198
7750,12633.190
7760,12637.933
7770,12641.818
7780,12640.372
7790,12712.959
7800,12712.735
7810,12668.529
7820,12654.214
7830,12655.309
7840,12660.521
7850,12658.091
7860,12841.396
7870,12815.238
7880,12704.381
7890,12674.714
7900,12672.338
7910,12674.222
7920,12534.336
7930,11564.547
7940,11160.458
7950,11021.488
7960,10972.006
7970,10938.145
7980,10930.800
7990,10979.718
8000,10946.399
8010,10943.849
8020,10916.104
8030,10923.671
8040,10918.410
8050,10914.972
8060,10909.336
8070,10926.314
8080,10925.118
8090,10924.602
8100,10932.406
8110,10927.706
8120,10974.301
8130,11816.015
8140,12341.821
8150,12696.135
8160,14159.694
8170,14738.958
8180,14923.039
8190,14994.040
8200,15038.971
8210,15034.945
8220,15024.338
8230,15034.237
8240,15074.526
8250,15058.698
8260,15041.072
8270,15034.526
8280,15034.774
8290,15034.642
8300,15042.373
8310,15045.236
8320,14686.500
8330,14675.686
8340,14904.921
8350,14983.264
8360,15009.819
8370,15073.143
8380,15060.189
8390,15053.863
8400,15031.962
8410,15034.644
8420,15041.436
8430,15024.405
8440,15031.864
8450,15038.036
8460,15041.789
8470,15033.468
8480,15030.895
8490,15073.634
8500,15066.893
8510,15051.126
8520,14695.249
8530,14690.786
8540,14902.653
8550,14987.136
8560,15011.875
8570,15022.635
8580,15007.741
8590,15015.124
8600,15025.226
8610,15007.589
8620,15055.910
8630,15047.714
8640,15030.734
8650,15001.728
8660,15007.535
8670,15020.336
8680,15034.403
8690,15037.654
8700,15007.049
8710,15043.929
8720,14691.829
8730,14676.019
8740,14935.417
8750,15015.771
8760,15025.331
8770,15028.940
8780,15034.807
8790,15022.415
8800,15023.632
8810,15060.221
8820,15047.021
8830,15036.399
8840,15030.882
8850,15024.390
8860,15201.075
8870,15184.118
8880,15065.689
8890,15026.297
8900,15020.438
8910,15067.392
8920,14764.999
8930,14735.534
8940,14951.413
8950,15009.091
8960,15014.576
8970,15039.872
8980,15037.254
8990,15078.066
9000,15087.327
9010,15135.147
9020,15111.719
9030,15193.022
9040,15288.866
9050,15147.051
9060,15116.666
9070,15104.227
9080,15076.444
9090,15046.782
9100,15047.299
9110,15058.545
9120,14871.382
9130,14201.871
9140,13948.273
9150,13868.832
9160,13834.475
9170,13138.379
9180,11809.513
9190,11303.571
9200,11123.521
9210,11362.335
9220,11181.332
9230,11101.834
9240,11084.570
9250,11075.260
9260,11060.944
9270,11066.313
9280,11041.632
9290,11041.313
9300,11021.545
9310,11034.923
9320,11038.995
9330,11053.379
9340,11268.605
9350,11277.580
9360,11126.628
9370,11175.341
9380,12185.878
9390,12543.118
9400,12681.453
9410,12729.899
9420,12770.382
9430,12793.877
9440,12779.725
9450,12794.398
9460,12802.183
9470,12859.492
9480,13121.021
9490,12903.779
9500,12816.574
9510,12753.757
9520,12756.263
9530,12734.313
9540,12712.200
9550,12706.907
9560,12709.492
9570,12057.777
9580,12488.309
9590,12638.304
9600,12675.737
9610,12706.451
9620,12790.032
9630,12761.061
9640,12757.890
9650,12736.372
9660,12726.982
9670,12744.521
9680,12723.694
9690,12720.637
9700,12727.739
9710,12715.769
9720,12724.947
9730,12704.600
9740,12759.343
9750,12742.345
9760,12703.256
9770,12061.859
9780,12466.409
9790,12624.886
9800,12680.312
9810,12721.324
9820,12733.582
9830,12754.955
9840,12727.129
9850,12725.624
9860,12725.751
9870,12767.426
9880,12868.501
9890,12887.463
9900,12786.918
9910,12742.998
9920,12737.351
9930,12721.428
9940,12713.571
9950,12713.594
9960,12705.314
9970,12060.679
9980,12482.726
9990,12657.708
10000,12702.810
10010,12706.744
10020,12717.945
10030,12714.261
10040,12731.012
10050,12731.136
10060,12725.394
10070,12721.462
10080,12724.880
10090,12727.234
10100,12711.702
10110,12722.006
10120,12767.136
10130,12744.228
10140,12721.639
10150,12843.201
10160,14229.432
10170,14074.837
10180,14680.912
10190,14908.133
10200,15000.194
10210,15043.548
10220,15050.822
10230,15073.500
10240,15121.860
10250,15091.594
10260,15057.248
10270,15066.420
10280,15048.193
10290,15040.890
10300,15054.797
10310,15063.860
10320,15048.790
10330,15052.623
10340,15067.558
10350,15070.676
10360,15077.139
10370,14522.065
10380,13769.209
10390,13499.600
10400,13402.734
10410,13368.396
10420,13354.083
10430,13353.953
10440,13356.800
10450,13367.457
10460,13369.814
10470,13379.153
10480,13359.503
10490,13390.702
10500,13377.840
10510,13371.329
10520,13352.743
10530,13367.589
10540,13353.816
10550,13346.921
10560,13342.222
10570,13525.092
10580,14510.478
10590,13890.722
10600,13526.385
10610,13396.063
10620,13403.808
10630,13350.683
10640,13401.833
10650,13342.830
10660,13339.597
10670,13344.029
10680,13343.905
10690,13338.294
10700,13323.672
10710,13339.976
10720,13344.028
10730,13350.025
10740,13381.167
10750,13383.310
10760,13355.292
10770,13346.127
10780,13323.098
10790,13525.022
10800,14517.545
10810,13880.963
10820,13561.827
10830,13431.339
10840,13368.592
10850,13426.896
10860,13422.143
10870,13657.115
10880,13523.468
10890,13446.791
10900,13437.608
10910,13428.553
10920,13433.261
10930,13404.021
10940,13389.342
10950,13399.286
10960,13390.350
10970,13398.088
10980,13395.053
10990,13435.222
11000,13419.328
11010,13604.821
11020,14571.942
11030,13943.613
11040,13603.588
11050,13503.249
11060,13448.050
11070,13421.671
11080,13409.967
11090,13395.141
11100,13404.765
11110,13436.893
11120,13464.367
11130,13404.589
11140,13383.487
11150,13498.746
11160,11996.611
11170,11367.889
11180,11144.720
11190,11044.286
11200,11024.721
11210,11005.942
11220,10991.558
11230,11187.489
11240,12204.852
11250,11554.590
11260,11202.745
11270,11078.093
11280,11033.222
11290,11003.594
11300,11006.509
11310,11003.259
11320,11005.790
11330,11008.558
11340,10990.946
11350,11000.905
11360,11001.754
11370,11037.643
11380,11025.072
11390,11005.969
11400,11010.562
11410,11002.355
11420,11009.405
11430,11011.764
11440,11009.400
11450,11194.756
11460,12250.721
11470,11634.836
11480,11524.047
11490,11502.628
11500,11196.831
11510,11095.502
11520,11031.612
11530,11012.299
11540,11006.322
11550,11005.892
11560,11018.621
11570,11018.454
11580,11013.253
11590,11008.764
11600,11011.289
11610,10997.633
11620,11050.989
11630,11027.066
11640,11009.258
11650,11004.379
11660,11011.445
11670,11029.420
11680,11014.867
11690,11006.603
11700,12100.601
11710,12521.114
11720,12681.741
11730,12731.849
11740,12795.719
11750,12797.181
11760,12782.830
11770,12775.018
11780,12758.006
11790,12750.511
11800,12769.364
11810,12772.178
11820,12753.970
11830,12762.245
11840,12764.427
11850,12778.424
11860,12882.731
11870,13037.018
11880,12855.277
11890,12126.818
11900,12527.396
11910,12675.587
11920,12719.191
11930,12759.329
11940,12755.051
11950,12768.659
11960,12774.423
11970,12776.311
11980,12761.799
11990,12792.717
12000,12789.051
12010,12774.494
12020,12762.817
12030,12751.593
12040,12758.510
12050,12764.027
12060,12765.856
12070,12775.302
12080,12774.312
12090,12114.738
12100,12518.503
12110,12689.281
12120,12777.962
12130,12766.850
12140,12762.106
12150,12897.030
12160,14306.882
12170,14829.063
12180,15014.269
12190,15073.122
12200,15109.953
12210,15123.026
12220,15120.748
12230,15115.997
12240,15149.586
12250,15146.414
12260,15130.834
12270,15146.857
12280,15121.081
12290,14440.728
12300,14861.666
12310,15050.813
12320,15101.728
12330,15094.608
12340,15090.357
12350,15108.007
12360,15111.095
12370,15135.335
12380,15097.120
12390,15098.788
12400,15102.913
12410,15110.006
12420,15096.362
12430,15093.571
12440,15103.908
12450,15103.182
12460,15108.078
12470,15113.169
12480,15105.241
12490,14483.593
12500,14863.268
12510,15021.131
12520,15064.033
12530,15082.684
12540,15095.656
12550,15111.590
12560,15098.825
12570,15089.409
12580,15098.979
12590,15103.083
12600,15109.271
12610,15132.199
12620,15148.029
12630,15136.555
12640,15126.418
12650,15113.227
12660,15125.523
12670,15133.933
12680,15183.388
12690,14497.635
12700,13797.522
12710,13536.329
12720,13433.748
12730,13403.867
12740,13431.355
12750,13413.137
12760,13389.513
12770,13375.533
12780,13377.884
12790,13395.555
12800,13398.851
12810,13390.993
12820,13389.109
12830,13396.185
12840,13392.034
12850,13400.805
12860,13446.906
